match_id,date,league_code,selection,line,odds,stake,probability,edge,actual_total,won,profit,bankroll_after
B1_2526_9738,2025-07-25,B1,Over,2.5,2.04,75.15365989942252,0.5157384987893462,0.052106537530266284,2.0,False,-75.15365989942252,9924.846340100577
B1_2526_9740,2025-07-26,B1,Under,2.5,2.6,221.74223208623897,0.4755865567533288,0.2365250475586549,2.0,True,354.7875713379824,10279.63391143856
B1_2526_9742,2025-07-27,B1,Under,2.5,2.33,121.93610214502577,0.4755865567533288,0.1081166772352562,7.0,False,-121.93610214502577,10157.697809293533
B1_2526_9743,2025-07-27,B1,Over,2.5,2.04,100.67801570655169,0.5244134432466712,0.06980342422320929,4.0,True,104.70513633481376,10262.402945628348
B1_2526_9745,2025-07-27,B1,Under,2.5,2.54,60.73774134610632,0.4182509505703422,0.06235741444866916,4.0,False,-60.73774134610632,10201.66520428224
B1_2526_9744,2025-07-27,B1,Over,2.5,1.78,154.37665782493372,0.6068965517241379,0.08027586206896542,3.0,True,120.4137931034483,10322.078997385688
B1_2526_9746,2025-08-01,B1,Under,2.5,2.7,114.06844106463875,0.4182509505703422,0.12927756653992395,3.0,False,-114.06844106463875,10208.010556321049
D2_2526_20502,2025-08-01,D2,Under,2.5,2.46,174.59890028752272,0.4755865567533288,0.1699429296131887,3.0,False,-174.59890028752272,10033.411656033526
E2_2526_29782,2025-08-01,E2,Under,2.5,2.04,212.0981463239903,0.5622817229336438,0.14705471478463328,1.0,True,220.58207217694994,10253.993728210477
SC1_2526_75334,2025-08-01,SC1,Under,2.5,2.12,121.93664076509286,0.5146443514644352,0.0910460251046028,2.0,True,136.56903765690402,10390.56276586738
E3_2526_32208,2025-08-02,E3,Under,2.5,2.12,242.66074012817865,0.557163531114327,0.18118668596237342,2.0,True,271.7800289435601,10662.34279481094
E2_2526_29783,2025-08-02,E2,Under,2.5,2.42,159.42197254548142,0.4755865567533288,0.1509194673430556,3.0,False,-159.42197254548142,10502.920822265458
SC3_2526_76932,2025-08-02,SC3,Over,2.5,2.4,67.29377713458746,0.4428364688856729,0.06280752532561484,1.0,False,-67.29377713458746,10435.62704513087
SC3_2526_76931,2025-08-02,SC3,Under,2.5,2.1,231.87738455466382,0.557163531114327,0.17004341534008693,3.0,False,-231.87738455466382,10203.749660576206
SC3_2526_76928,2025-08-02,SC3,Under,2.5,2.36,360.6450729302197,0.5622817229336438,0.32698486612339916,5.0,False,-360.6450729302197,9843.104587645987
SC1_2526_75336,2025-08-02,SC1,Over,2.5,2.68,154.5401629802094,0.4377182770663562,0.17308498253783466,0.0,False,-154.5401629802094,9688.564424665778
SC1_2526_75337,2025-08-02,SC1,Over,2.5,1.84,125.74687669744705,0.5817490494296578,0.07041825095057042,2.0,False,-125.74687669744705,9562.81754796833
E3_2526_32207,2025-08-02,E3,Over,2.5,2.04,100.67801570655169,0.5244134432466712,0.06980342422320929,3.0,True,104.70513633481376,9667.522684303145
E3_2526_32199,2025-08-02,E3,Over,2.5,2.24,105.47982183830433,0.4853556485355647,0.08719665271966504,1.0,False,-105.47982183830433,9562.042862464841
E3_2526_32202,2025-08-02,E3,Over,2.5,2.88,317.41297961363796,0.4853556485355647,0.3978242677824262,2.0,False,-317.41297961363796,9244.629882851203
E3_2526_32206,2025-08-02,E3,Over,2.5,2.2,84.728033472803,0.4853556485355647,0.06778242677824231,0.0,False,-84.728033472803,9159.901849378399
E3_2526_32200,2025-08-02,E3,Over,2.5,2.22,95.27402428150039,0.4853556485355647,0.07748953974895367,1.0,False,-95.27402428150039,9064.627825096899
