team,league,season,possession_pct,touches,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,progressive_carries,progressive_passes_received,passes_completed,passes_attempted,pass_completion_pct,progressive_passes,passes_into_final_third,passes_into_penalty_area,goals,shots,shots_on_target,shots_on_target_pct,xg,npxg,xg_per_shot
Monaco,F1,2024-2025,55.0,0,1745,5633,10914,5558,0,0,14561,17916,81.3,0,1143,2134,0,63,493,180.0,0.32,15.7,6.0
Montpellier,F1,2024-2025,45.3,0,2072,6036,8263,4032,0,0,11442,14420,79.3,0,1384,2425,0,23,371,111.0,0.18,18.7,3.0
Nantes,F1,2024-2025,40.4,0,2137,6120,8089,3839,0,0,10999,13956,78.8,0,1116,2236,0,39,345,119.0,0.29,15.9,5.0
Nice,F1,2024-2025,47.5,0,2171,6488,9270,4693,0,0,13129,16103,81.5,0,1015,1909,0,62,486,183.0,0.31,16.2,6.0
Paris S-G,F1,2024-2025,68.0,0,1991,6704,14734,8262,0,0,23156,25781,89.8,0,1623,2267,0,89,628,272.0,0.31,16.3,6.0
Reims,F1,2024-2025,44.1,0,2437,6983,7699,4213,0,0,11657,14602,79.8,0,1110,2150,0,32,393,111.0,0.28,17.6,1.0
Rennes,F1,2024-2025,50.9,0,1999,6281,9624,4970,0,0,13914,16913,82.3,0,1246,2132,0,51,423,155.0,0.3,17.3,5.0
Saint-Étienne,F1,2024-2025,47.1,0,2437,6917,8493,4607,0,0,13001,15954,81.5,0,973,1997,0,39,366,115.0,0.31,18.1,3.0
Strasbourg,F1,2024-2025,50.1,0,2567,8555,9120,3825,0,0,14667,17462,84.0,0,998,1882,0,54,354,140.0,0.37,16.0,2.0
Toulouse,F1,2024-2025,45.0,0,1884,6030,8440,4363,0,0,11674,14867,78.5,0,964,2027,0,42,399,145.0,0.27,15.4,3.0
