date,time,home_team,away_team,bet,line,odds,model_total,pred_home,pred_away,dc_home,dc_away,probability,poisson_prob,dc_prob,model_used,edge,kelly
2025-12-07,20:45,Napoli,Juventus,Over 2.5,2.5,2.55,3.1573656294780577,1.8002715329989116,1.357094096479146,1.0748633658924116,0.7546673661369661,0.5117089121850291,0.6111240491622321,0.2772990444787409,full_ensemble,0.11955204943993103,0.019282588619343715
2025-12-07,14:00,Elche,Girona,Under 2.5,2.5,1.85,2.0086804814335117,1.2651965731219084,0.7434839083116034,1.0314698264746642,1.1346729064166794,0.6474502508525759,0.6743268800775478,0.6318056542748494,full_ensemble,0.10690971031203544,0.0314440324447163
2025-12-07,20:45,Napoli,Juventus,Over 3.5,3.5,4.7,3.1573656294780577,1.8002715329989116,1.357094096479146,1.0748633658924116,0.7546673661369661,0.30640364690491206,0.387974039286207,0.11349946416764074,full_ensemble,0.09363768945810355,0.00632687090933132
2025-12-07,16:45,Sparta Rotterdam,NAC Breda,Under 2.5,2.5,2.05,2.4941257836153805,1.453931484944236,1.0401942986711445,1.2489941357445113,0.7032286270679429,0.5810271473277906,0.5453208268568324,0.6896058826668591,full_ensemble,0.09322226927901006,0.022195778399764304
2025-12-08,21:00,Osasuna,Levante,Under 2.5,2.5,1.9,2.176864006123583,1.1897144262163082,0.9871495799072749,1.4245158731779632,0.8227482053387937,0.6167337135848207,0.6289238181035285,0.6100695040880616,full_ensemble,0.09041792411113647,0.025116090030871244
2025-12-07,14:00,Elche,Girona,Under 1.5,1.5,3.45,2.0086804814335117,1.2651965731219084,0.7434839083116034,1.0314698264746642,1.1346729064166794,0.3767151397815356,0.40366139765914594,0.35904568218622906,full_ensemble,0.08686006731776746,0.008863272175282393
2025-12-07,16:45,Sparta Rotterdam,NAC Breda,Under 3.5,3.5,1.42,2.4941257836153805,1.453931484944236,1.0401942986711445,1.2489941357445113,0.7032286270679429,0.784465528369612,0.7588310825532296,0.8656401972008528,full_ensemble,0.08024017625693591,0.047762009676747576
2025-12-07,14:00,Elche,Girona,Under 3.5,3.5,1.32,2.0086804814335117,1.2651965731219084,0.7434839083116034,1.0314698264746642,1.1346729064166794,0.8368726125753233,0.855553703921424,0.8259685074890584,full_ensemble,0.07929685499956574,0.05
2025-12-07,20:45,Napoli,Juventus,Over 1.5,1.5,1.5,3.1573656294780577,1.8002715329989116,1.357094096479146,1.0748633658924116,0.7546673661369661,0.7415592817470529,0.8231520839827489,0.5496319826336605,full_ensemble,0.07489261508038625,0.037446307540193124
2025-12-08,18:00,Alanyaspor,Antalyaspor,Under 2.5,2.5,1.85,2.3920067154095612,1.3759248931857333,1.016081822223828,1.4054486869263272,0.7544362976205834,0.6134180670255857,0.571798517746606,0.633488954068111,full_ensemble,0.0728775264850452,0.021434566613248586
2025-12-07,21:00,Granada,Ceuta,Under 2.5,2.5,1.58,1.9330991349919675,1.015823265809885,0.9172758691820826,0.7552079337085892,0.873797744006926,0.7040852509766351,0.6947776443807443,0.7758362007248029,full_ensemble,0.07117385857157188,0.030678387315332702
2025-12-07,15:00,OGC Nice,Angers SCO,Under 2.5,2.5,1.9,2.316778192743313,1.5494525921354958,0.7673256006078172,1.5512492024708904,0.6498021532725815,0.5910512238545267,0.5915944504373503,0.6224323236079912,full_ensemble,0.0647354343808425,0.017982065105789587
2025-12-08,21:00,Osasuna,Levante,Under 1.5,1.5,3.5,2.176864006123583,1.1897144262163082,0.9871495799072749,1.4245158731779632,0.8227482053387937,0.34815436032626274,0.36024552809946236,0.3396381653825354,full_ensemble,0.06244007461197704,0.0062440074611977035
2025-12-07,16:45,Sparta Rotterdam,NAC Breda,Under 1.5,1.5,3.85,2.4941257836153805,1.453931484944236,1.0401942986711445,1.2489941357445113,0.7032286270679429,0.32062995913086834,0.288505083522226,0.4155099792497256,full_ensemble,0.06088969939060862,0.00534120170093058
2025-12-07,21:00,Granada,Ceuta,Under 1.5,1.5,2.65,1.9330991349919675,1.015823265809885,0.9172758691820826,0.7552079337085892,0.873797744006926,0.43573436102328367,0.4244166905097841,0.5118940827639,full_ensemble,0.058375870457245904,0.00884482885715847
2025-12-08,21:00,Osasuna,Levante,Under 3.5,3.5,1.32,2.176864006123583,1.1897144262163082,0.9871495799072749,1.4245158731779632,0.8227482053387937,0.8148950432923058,0.8238825176824237,0.8099805707830366,full_ensemble,0.05731928571654821,0.044780691966053277
2025-12-07,18:00,Lazio,Bologna,Over 2.5,2.5,2.25,2.885928743829736,1.5093098784497163,1.3766188653800195,1.1394562345923354,1.0006565053724297,0.49895663201898505,0.5507731786475697,0.36118807584801815,full_ensemble,0.05451218757454063,0.010902437514908126
2025-12-07,15:00,OGC Nice,Angers SCO,Under 3.5,3.5,1.35,2.316778192743313,1.5494525921354958,0.7673256006078172,1.5512492024708904,0.6498021532725815,0.7951554559042592,0.7959272731933601,0.8191462694379696,full_ensemble,0.05441471516351848,0.03886765368822748
2025-12-08,18:00,Alanyaspor,Antalyaspor,Under 3.5,3.5,1.32,2.3920067154095612,1.3759248931857333,1.016081822223828,1.4054486869263272,0.7544362976205834,0.8118964148363206,0.7803919432720914,0.8271822649965238,full_ensemble,0.05432065726056301,0.042438013484814845
2025-12-08,18:00,Alanyaspor,Antalyaspor,Under 1.5,1.5,3.4,2.3920067154095612,1.3759248931857333,1.016081822223828,1.4054486869263272,0.7544362976205834,0.3458208244732593,0.31018542421090917,0.3609425755395695,full_ensemble,0.05170317741443575,0.005385747647337058
