Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
EC,18/11/2025,19:45,Morecambe,Brackley Town,M Burgin,2,3.6,3.1,2.1,3.4,3,2,3.2,3.35,2.05,3.5,3.1,1.98,3.4,3,2,3.5,3,2,3.5,3,,,,2.1,3.8,3.35,2.02,3.5,3.13,2.12,3.8,3.2,1.67,2.15,,,1.73,2.15,1.67,2.07,1.69,2.28,-0.25,1.83,1.98,,,1.83,1.98,1.78,1.93,1.86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,20/11/2025,20:00,Peterboro,Stockport,M Russell,3.05,3.5,2.1,3.1,3.25,2.1,3.3,3.5,2.1,3,3.4,2.15,3.1,3.5,2.15,3.1,3.6,2.2,3.1,3.5,2.15,,,,3.35,3.6,2.2,3.14,3.45,2.14,3.4,3.5,2.3,1.8,2,,,1.85,2,1.78,1.95,1.78,2.12,0.25,1.93,1.93,,,1.93,1.93,1.89,1.81,1.97,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
