Div,Date,Time,HomeTeam,AwayTeam,best_over_odds,best_under_odds,market_total_line
F1,2025-11-23,15:00,Auxerre,Olympique Lyon,1.87,1.82,2.5
F1,2025-11-23,15:00,Auxerre,Olympique Lyon,3.15,1.32,3.5
E0,2025-11-23,15:00,Leeds,Aston Villa,1.37,2.95,1.5
E0,2025-11-23,15:00,Leeds,Aston Villa,1.37,2.95,1.5
E0,2025-11-23,15:00,Leeds,Aston Villa,2.1,1.67,2.5
E0,2025-11-23,15:00,Leeds,Aston Villa,2.1,1.67,2.5
E0,2025-11-23,15:00,Leeds,Aston Villa,3.9,1.23,3.5
E0,2025-11-23,15:00,Leeds,Aston Villa,3.9,1.23,3.5
D1,2025-11-23,15:30,RB Leipzig,Werder Bremen,1.09,6.2,1.5
D1,2025-11-23,15:30,RB Leipzig,Werder Bremen,1.32,3.1,2.5
D1,2025-11-23,15:30,RB Leipzig,Werder Bremen,1.8,1.9,3.5
F1,2025-11-23,17:15,FC Nantes,FC Lorient,1.32,3.15,1.5
F1,2025-11-23,17:15,FC Nantes,FC Lorient,1.95,1.75,2.5
F1,2025-11-23,17:15,FC Nantes,FC Lorient,3.35,1.27,3.5
F1,2025-11-23,17:15,Stade Brest 29,FC Metz,1.25,3.65,1.5
F1,2025-11-23,17:15,Stade Brest 29,FC Metz,1.77,1.95,2.5
F1,2025-11-23,17:15,Stade Brest 29,FC Metz,2.85,1.37,3.5
F1,2025-11-23,17:15,Toulouse,Angers SCO,1.32,3.15,1.5
F1,2025-11-23,17:15,Toulouse,Angers SCO,1.95,1.75,2.5
F1,2025-11-23,17:15,Toulouse,Angers SCO,3.35,1.27,3.5
E0,2025-11-23,17:30,Arsenal,Tottenham,1.25,3.7,1.5
E0,2025-11-23,17:30,Arsenal,Tottenham,1.25,3.7,1.5
E0,2025-11-23,17:30,Arsenal,Tottenham,1.8,1.95,2.5
E0,2025-11-23,17:30,Arsenal,Tottenham,1.8,1.95,2.5
E0,2025-11-23,17:30,Arsenal,Tottenham,3.05,1.35,3.5
E0,2025-11-23,17:30,Arsenal,Tottenham,3.05,1.35,3.5
D1,2025-11-23,17:30,St Pauli,Union Berlin,1.35,3.0,1.5
D1,2025-11-23,17:30,St Pauli,Union Berlin,2.05,1.67,2.5
